image_name,response_key,response_time,location,cue_location,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310,t311,t312,t313,t314,t315,t316,t317,t318,t319,t320,t321,t322,t323,t324,t325,t326,t327,t328,t329,t330,t331,t332,t333,t334,t335,t336,t337,t338,t339,t340,t341,t342,t343,t344,t345,t346,t347,t348,t349,t350,t351,t352,t353,t354,t355,t356,t357,t358,t359,t360,t361,t362,t363,t364,t365,t366,t367,t368,t369,t370,t371,t372,t373,t374,t375,t376,t377,t378,t379,t380,t381,t382,t383,t384,t385,t386,t387,t388,t389,t390,t391,t392,t393,t394,t395,t396,t397,t398,t399,t400,t401,t402,t403,t404,t405,t406,t407,t408,t409,t410,t411,t412,t413,t414,t415,t416,t417,t418,t419,t420,t421,t422,t423,t424,t425,t426,t427,t428,t429,t430,t431,t432,t433,t434,t435,t436,t437,t438,t439,t440,t441,t442,t443,t444,t445,t446,t447,t448,t449,t450,t451,t452,t453,t454,t455,t456,t457,t458,t459,t460
FS/302.png,e,0.4253294998779893,4.0,8.0,3.485195,3.4793804,3.4809883,3.4754314,3.4747422,3.4791744,3.497906,3.496172,3.498499,3.487269,3.4954402,3.5042176,3.5070498,3.5353913,3.5509253,3.5278728,3.5347056,3.537039,3.512956,3.5327454,3.5539982,3.562968,3.5530777,3.556185,3.5648844,3.5596786,3.5601594,3.5470436,3.555241,3.5688088,3.5700183,3.5350559,3.5583742,3.5649195,3.571397,3.5551765,3.5714636,3.5807962,3.5604503,3.5512295,3.563458,3.5752907,3.5246289,3.5580237,3.5760756,3.5486267,3.5462947,3.5560575,3.5557516,3.5514407,3.5439992,3.5618973,3.547986,3.55444,3.5430684,3.5316896,3.531686,3.507551,3.5070887,3.4967682,3.4907985,3.4517257,3.4345093,3.4322681,3.2557757,3.2950568,3.2901716,3.2457602,3.2575395,3.261178,3.2756615,3.2785478,3.3165202,3.3115077,3.2758417,3.2630596,3.2542357,3.2439852,3.257686,3.2747726,3.2784133,3.2595484,3.264671,3.2604506,3.2689445,3.2825,3.2805257,3.2651126,3.2893052,3.304861,3.301429,3.2939646,3.3062174,3.2992682,3.3182383,3.314336,3.3239691,3.3148327,3.3230636,3.3225164,3.323453,3.3202274,3.3270571,3.360337,3.3391118,3.3655276,3.3707695,3.3766124,3.376476,3.3868995,3.3868768,3.412806,3.385484,3.4089754,3.3810744,3.3930273,3.419787,3.4109886,3.4003186,3.418272,3.441877,3.407734,3.4083302,3.41454,3.4118822,3.4019864,3.4265313,3.419046,3.4071124,3.4158611,3.4053934,3.3940759,3.4094586,3.3812158,3.3838952,3.4075286,3.3606985,3.402671,3.3830156,3.372911,3.386128,3.363474,3.3784032,3.3455524,3.3643878,3.3735962,3.360257,3.348172,3.3542452,3.359876,3.377888,3.3507688,3.3670266,3.3590906,3.356192,3.3645186,3.3631406,3.3482547,3.358835,3.3676453,3.3677685,3.38554,3.3571303,3.3526652,3.3738387,3.385776,3.3894804,3.3772693,3.3829544,3.3821518,3.403093,3.392649,3.3860378,3.389215,3.4184647,3.4061608,3.4286504,3.4238513,3.4092195,3.4038842,3.430724,3.4269617,3.4060965,3.448344,3.4575174,3.435816,3.459894,3.4545186,3.465073,3.4681032,3.4588788,3.4669213,3.4507108,3.4805171,3.470048,3.4359915,3.4412303,3.483439,3.4367414,3.4287558,3.412434,3.4041932,3.3918457,3.3589833,3.355926,3.3287022,3.31376,3.3218005,3.2919254,3.2480562,3.232781,3.2003622,3.1982827,3.1800723,3.1592698,3.119089,3.1031973,3.0799503,3.0912523,3.0739708,3.0724452,3.036273,3.0406182,3.0349588,3.022372,3.0005639,2.9808114,2.9927855,2.9861977,2.9673197,2.9700162,2.958982,2.9576192,2.9505086,2.9577072,2.9249377,2.9360473,2.908738,2.9091487,2.9135084,2.9019291,2.909069,2.8984878,2.9274096,2.9031723,2.888769,3.0490654,3.0718572,3.0314531,3.0279622,3.0356152,3.0651007,3.1191993,3.1215045,3.1127756,3.0930243,3.105942,3.1253574,3.1455433,3.1514006,3.1328723,3.1338327,3.1495106,3.1336663,3.162228,3.1677375,3.1667361,3.1605265,3.1869233,3.1657336,3.1887376,3.2093158,3.2114701,3.190818,3.2276,3.229783,3.239021,3.236037,3.2351444,3.2488124,3.2519705,3.275629,3.253867,3.2519925,3.2443874,3.266435,3.2865403,3.346872,3.323586,3.3460739,3.3321102,3.3276088,3.32686,3.3419218,3.3732457,3.351608,3.3702924,3.3782585,3.3830621,3.3763938,3.370992,3.3728633,3.3909366,3.4030354,3.3890967,3.4020805,3.4169574,3.4258518,3.396636,3.3988178,3.428479,3.4077218,3.4152522,3.4398386,3.4203312,3.4320114,3.4377768,3.4308457,3.4254005,3.4187582,3.4354892,3.4243875,3.4426365,3.4199095,3.4466097,3.4263437,3.4421153,3.459793,3.454913,3.4601002,3.4415178,3.4561381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/22.png,e,0.5575574000831693,4.0,8.0,3.5932896,3.5871751,3.5836308,3.6080444,3.6070988,3.5686548,3.5536275,3.599772,3.5964112,3.5744848,3.5924966,3.5787945,3.6081553,3.5690315,3.581748,3.5945585,3.5774689,3.588876,3.588212,3.561335,3.5978863,3.5846655,3.5798633,3.5789416,3.5864127,3.5983763,3.5727556,3.5973344,3.591841,3.6032615,3.5700648,3.5884066,3.5873666,3.5902348,3.5720897,3.5830045,3.5958283,3.584828,3.580731,3.604921,3.5982823,3.616941,3.5623467,3.5929961,3.585789,3.6103308,3.5680687,3.5658672,3.5892758,3.600866,3.5919602,3.5768447,3.5735168,3.5880368,3.5557568,3.5700533,3.571213,3.545599,3.5575693,3.525924,3.540462,3.5423162,3.5406108,3.5081997,3.5400724,3.4995966,3.4780173,3.491421,3.4665723,3.4391816,3.4606829,3.446103,3.4578943,3.4466727,3.440586,3.4540098,3.4310603,3.4474792,3.4235451,3.4115553,3.4388962,3.4178107,3.3993,3.3998504,3.399158,3.4250696,3.397321,3.3929114,3.3839233,3.369229,3.401619,3.3846936,3.370441,3.3860288,3.3825135,3.3846004,3.3756185,3.3639503,3.360279,3.340317,3.3300223,3.383096,3.3754468,3.4097078,3.3844166,3.3473372,3.3053114,3.3219247,3.3113008,3.4057155,3.3787897,3.3790655,3.383761,3.3819163,3.382335,3.3835185,3.3844123,3.3893943,3.380632,3.3993251,3.3852901,3.3769503,3.3910904,3.3913536,3.3662632,3.3772664,3.3752542,3.3697395,3.3725777,3.3896172,3.4068673,3.3837392,3.3771973,3.396187,3.3958933,3.382322,3.3810213,3.381721,3.4058437,3.4052374,3.4020407,3.4104054,3.3703582,3.3935435,3.400787,3.3804455,3.3838894,3.3847826,3.3764856,3.3694744,3.3841712,3.390999,3.3760066,3.3773854,3.3593159,3.3574345,3.342457,3.3475215,3.355798,3.3348231,3.3428164,3.3715305,3.3367565,3.3421843,3.3133085,3.3302732,3.3313916,3.3242278,3.33534,3.3164046,3.3220854,3.3009706,3.3121178,3.310739,3.2761295,3.2867215,3.275247,3.2837462,3.301508,3.296152,3.2873528,3.306689,3.2881358,3.3005629,3.3115025,3.289645,3.3004704,3.289577,3.2884982,3.282758,3.3028765,3.2765892,3.2782767,3.2929885,3.2954755,3.2733483,3.275856,3.265829,3.2718267,3.2710834,3.2534118,3.2306883,3.2317295,3.2274208,3.2038956,3.1810124,3.1523635,3.1495388,3.0969746,3.1036873,3.0885985,3.0647974,3.0497339,3.0302136,2.9994552,2.9753761,2.9710605,2.9633665,2.9464233,2.9419901,2.920274,2.9190843,2.9462113,2.9010015,2.9028037,2.8695292,2.8742664,2.839096,2.8740652,2.8466213,2.8320036,2.8106656,2.8254325,2.8372784,2.830151,2.8319585,2.815454,2.8175693,2.8202822,2.8154333,2.8217492,2.80102,2.8296359,2.8185706,2.8180597,2.809345,2.8317776,2.8375797,2.8241947,2.8307405,2.8413775,2.8583424,2.8592572,2.8281329,2.8407326,1.2958137,2.4227943,3.0666106,3.0148327,3.0092642,2.996056,3.0983953,3.0830154,3.0967805,3.1180527,3.1251376,3.1330168,3.159409,3.1268632,3.1531997,3.1544862,3.163079,3.20185,3.1808631,3.1833267,3.1904645,3.2015305,3.2032044,3.226219,3.2170017,3.1904469,3.2556486,3.2790265,3.236247,3.268338,3.2607522,3.2629209,3.284518,3.3162377,3.2635627,3.292381,3.2958708,3.295423,3.2911055,3.2687383,3.2911909,3.3135781,3.3253791,3.323672,3.3231502,3.304699,3.2946608,3.3230093,3.3204353,3.2900918,3.3257964,3.3408966,3.324521,3.3542337,3.3349817,3.332562,3.343055,3.3322077,3.3240368,3.3379707,3.3288748,3.3152711,3.3268178,3.3786178,3.35328,3.3151553,3.3480315,3.3483036,3.331534,3.3679543,3.3455575,3.3412092,3.34055,3.3655696,3.3436825,3.372708,3.344218,3.341896,3.3683958,3.3455637,3.3642757,3.3798957,3.3652186,3.3601944,3.3622754,3.360307,3.3661938,3.3587596,3.3692997,3.3840744,3.3864639,3.3813572,3.3730388,3.3666105,3.3788276,3.384531,3.380684,3.3694031,3.3664193,3.3930566,3.3586273,3.3605208,3.371464,3.3941555,3.3850403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/32.png,e,0.4898382998071611,-4.0,-16.0,3.1301904,3.138356,3.1278684,3.1298263,3.1412961,3.1614528,3.1569958,3.1317315,3.1627007,3.1696503,3.1403813,3.1519685,3.1156783,3.1188016,3.136185,3.1439002,3.1478524,3.141033,3.179548,3.14872,3.1534147,3.1585076,3.1695814,3.1841521,3.1851642,3.1601617,3.194628,3.1586833,3.1889007,3.1849039,3.190556,3.1872582,3.183952,3.1862764,3.1934397,3.205209,3.2211556,3.1884255,3.1997828,3.2023404,3.2032819,3.229513,3.2262285,3.2284672,3.2228243,3.2309213,3.2375777,3.2460434,3.2375681,3.2240736,3.2228463,3.2025812,3.2291727,3.2143452,3.23319,3.237192,3.2319596,3.2416332,3.246664,3.2421997,3.2549665,3.2553096,3.2308996,3.241713,3.2334812,3.2598076,3.277879,3.2472367,3.2481494,3.2513173,3.252319,3.276813,3.2502146,3.2449448,3.2539394,3.2547133,3.2183049,3.2756839,3.2649083,3.2227957,3.226392,3.2367787,3.2684243,3.2756147,3.3001158,3.308583,3.3284194,3.3287024,3.3185804,3.3322752,3.3362346,3.334462,3.3326564,3.3655343,3.3334496,3.335767,3.3384645,3.3317738,3.339553,3.3316734,3.3644733,3.3641632,3.379323,3.3723924,3.3561401,3.3538308,3.3788228,3.3690188,3.3927913,3.3949072,3.3607495,3.3735223,3.4055984,3.3831549,3.3864284,3.398311,3.4042861,3.4065096,3.4058871,3.3790326,3.3814917,3.3863573,3.386792,3.3805025,3.4041293,3.4252276,3.3801222,3.3733644,3.371984,3.367771,3.3678737,3.3519013,3.3607185,3.3578017,3.3515737,3.3411584,3.3172057,3.3167326,3.3280609,3.3241813,3.3016577,3.2859514,3.2866876,3.3027525,3.2477286,3.256815,3.257926,3.2484326,3.2500255,3.2778897,3.2725844,3.254614,3.2666874,3.2411802,3.233636,3.2267902,3.225901,3.2353902,3.2488914,3.2052011,3.2328305,3.219906,3.2262065,3.226986,3.236229,3.229224,3.2337265,3.2366192,3.2194428,3.231788,3.1598554,3.1849895,3.1849782,3.2022083,3.192949,3.1882088,3.178852,3.210734,3.1661305,3.1693885,3.1699398,3.1628032,3.1757095,3.1648746,3.190096,3.1534355,3.1611779,3.1728516,3.1717312,3.159731,3.1429226,3.1564617,3.1508565,3.1427152,3.1749136,3.155562,3.174715,3.1392844,3.1331003,3.1547506,3.149736,3.1823468,3.1429634,3.1522644,3.1559126,3.1253135,3.127207,3.1224308,3.0552583,3.0706275,3.0414886,3.0207043,3.019439,3.0099425,2.9687903,2.978296,2.9657314,2.9239345,2.9122298,2.9187868,2.8851674,2.88957,2.8507264,2.8472028,2.8516793,2.7931333,2.8249571,2.807745,2.779709,2.7768223,2.7615294,2.7946045,2.7713077,2.7622745,2.7181606,2.7452452,2.6977777,2.743538,2.724473,2.711523,2.702914,2.7149916,2.7208593,2.7039692,2.7186468,2.7154908,2.7083023,2.7026603,2.709996,2.7101777,2.6997557,2.7263012,2.7365754,2.7387187,2.7404807,2.738921,2.766306,2.7202408,2.7383344,2.7581913,2.7609875,2.7638388,2.7513351,2.7487028,2.763994,2.7755964,2.7948112,2.802605,2.7930837,2.796419,2.8138058,2.8132315,2.797356,2.8371496,2.8411362,2.8468332,2.834001,2.8749247,2.8777015,2.895529,2.8748665,2.8851228,2.889893,2.903449,2.9135306,2.9194233,2.9233584,2.9321835,2.9223354,2.9215798,2.9462845,2.9413488,2.9441693,2.936764,2.966856,2.952689,2.9577756,2.953882,2.9644015,2.979368,2.9670928,2.9851906,2.9813647,2.987887,2.9761147,3.0015788,2.9934971,3.0558705,3.0522866,3.0703409,3.0530453,3.0451646,3.044701,3.0162523,3.0545495,3.0298243,3.048005,3.0367322,3.0321863,3.0364254,3.0243027,3.02809,3.0303214,3.0613441,3.062757,3.0536916,3.086906,3.0496604,3.0510435,3.0800998,3.0784361,3.0139263,3.063998,3.050724,3.0498817,3.2164483,3.0699377,3.0683372,3.1064482,3.103616,3.09303,3.0825713,3.0977576,3.0927353,3.0963604,3.0782397,3.0806468,3.0852957,3.0746596,3.099409,3.1047835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/182.png,e,0.5829406999982893,0.0,-4.0,3.6014743,3.606151,3.6221173,3.6057506,3.610485,3.6070886,3.6284635,3.6205657,3.610744,3.628135,3.5788748,3.5971727,3.5875833,3.5768745,3.5900197,3.6122093,3.6138344,3.5685053,3.5942948,3.5943398,3.6067674,3.6078331,3.6049452,3.596,3.5880253,3.5878427,3.597685,3.5979981,3.5840828,3.6180398,3.6187704,3.5864956,3.6062605,3.6086717,3.5981283,3.6027174,3.6187828,3.602153,3.6132658,3.592145,3.6016166,3.6117485,3.5987144,3.615666,3.6334608,3.6094341,3.6090846,3.593031,3.6256475,3.6200604,3.6062188,3.6245055,3.6193743,3.583119,3.6095095,3.549775,3.5121045,3.4452124,3.425825,3.4967887,3.4869769,3.459303,3.4728417,3.443246,3.4819195,3.4809139,3.456324,3.4452214,3.4756274,3.4700615,3.4476871,3.468317,3.456548,3.4677224,3.4569774,3.4545112,3.4391046,3.4650052,3.4682899,3.4533048,3.4733553,3.4742458,3.4868205,3.4568462,3.492255,3.4946733,3.4974313,3.4616783,3.485612,3.4861724,3.5035822,3.5286348,3.501478,3.5142038,3.5119383,3.5111957,3.5114043,3.5339098,3.537329,3.528133,3.5582066,3.5499725,3.5339963,3.545674,3.5401518,3.5497832,3.5563505,3.5461354,3.5561688,3.5536351,3.5270505,3.553842,3.5592594,3.5745988,3.5397637,3.576914,3.5966275,3.5884764,3.5930283,3.5897179,3.591675,3.58049,3.575254,3.6223433,3.581618,3.5830142,3.5908525,3.571921,3.588435,3.5703478,3.5616858,3.559414,3.5356636,3.519361,3.542852,3.5243514,3.5094316,3.4858506,3.488314,3.4655647,3.4590354,3.4774213,3.458886,3.4522114,3.4218721,3.4203923,3.4343975,3.4385948,3.4355814,3.4069858,3.404362,3.3929656,3.3771584,3.3870437,3.3816755,3.3679252,3.369706,3.372187,3.349279,3.3436852,3.3715706,3.3262239,3.370085,3.3200476,3.351823,3.4142106,3.3871617,3.370319,3.385758,3.3610804,3.3914137,3.3567731,3.3668091,3.369959,3.3666198,3.3952887,3.411754,3.4244606,3.404058,3.4291415,3.4435484,3.4359922,3.4274344,3.4476914,3.4498467,3.4466503,3.4127078,3.4569314,3.448141,3.4637525,3.4506297,3.4710157,3.4500022,3.4734209,3.476493,3.4803898,3.4855607,3.479284,3.4802988,3.481875,3.476224,3.5075731,3.5100005,3.4949222,3.4914765,3.470012,3.4664764,3.4572778,3.4872177,3.4467041,3.4460733,3.4066365,3.4092221,3.3916478,3.3797412,3.3454607,3.3198025,3.2797215,3.2849483,3.2764332,3.2353473,3.2337909,3.234547,3.1935391,3.1983771,3.219588,3.1575727,3.1642265,3.1388683,3.139861,3.1373227,3.1108568,3.1226544,3.080168,3.09818,3.110973,3.0949264,3.0540936,3.0390909,3.0411024,3.0320253,3.006093,3.0230975,3.000784,3.0214913,3.0238657,3.003107,2.984535,3.0221357,3.0124586,3.0182726,3.0005636,2.9995768,2.9966009,3.0124621,2.9932532,3.0177982,3.0203698,2.991724,3.0066614,3.0131178,3.0116107,3.0083113,3.014364,2.972131,2.9151254,3.0814905,3.1311567,3.1099992,3.145058,3.0853615,3.240238,3.266781,3.1155572,3.1722512,3.1746757,3.1580076,3.1810112,3.1985896,3.197166,3.2037287,3.2000809,3.220545,3.199664,3.2254226,3.2168646,3.2166402,3.2143652,3.2353308,3.230924,3.2123322,3.231313,3.2324426,3.2389212,3.2331333,3.2322066,3.2749398,3.273053,3.2716749,3.2834349,3.279401,3.2900357,3.2914875,3.2912266,3.3142562,3.282426,3.2930157,3.319911,3.3016577,3.3129275,3.3281932,3.3261106,3.318073,3.3389208,3.3428197,3.323862,3.3587704,3.339753,3.3769176,3.4047537,3.3661804,3.3587487,3.3685422,3.3926811,3.3817353,3.3836803,3.3957036,3.4056394,3.4256065,3.382502,3.4102526,3.427011,3.403455,3.4074147,3.42536,3.4157305,3.4190552,3.4489477,3.418939,3.4309385,3.4352567,3.4370468,3.432916,3.4312875,3.4347308,3.429717,3.448531,3.4536343,3.4478414,3.4231954,3.480053,3.4409177,3.4406226,3.4508686,3.4459505,3.4685988,3.4569855,3.464114,3.4823115,3.466587,3.467877,3.462821,3.4935405,3.4898312,3.4931889,3.4859726,3.4713218,3.4852922,3.5013418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
