image_name,response_key,response_time,location,cue_location,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310,t311,t312,t313,t314,t315,t316,t317,t318,t319,t320,t321,t322,t323,t324,t325,t326,t327,t328,t329,t330,t331,t332,t333,t334,t335,t336,t337,t338,t339,t340,t341,t342,t343,t344,t345,t346,t347,t348,t349,t350,t351,t352,t353,t354,t355,t356,t357,t358,t359,t360,t361,t362,t363,t364,t365,t366,t367,t368,t369,t370,t371,t372,t373,t374,t375,t376,t377,t378,t379,t380,t381,t382,t383,t384,t385,t386,t387,t388,t389,t390,t391,t392,t393,t394,t395,t396,t397,t398,t399,t400,t401,t402,t403
FS/21.png,e,0.3177540000760928,-4.0,0.0,4.743404,4.7514305,4.6849504,4.791611,4.710183,4.740821,4.727715,4.7520275,4.735905,4.7129965,4.693647,4.7599015,4.6726303,4.7431736,4.7473354,4.7524242,4.7236,4.6950955,4.7359743,4.7406535,4.787773,4.677168,4.730378,4.7544703,4.659536,4.741114,4.674976,4.707829,4.750987,4.6567035,4.696526,4.7524505,4.740433,4.731157,4.6615396,4.728437,4.6509123,4.6583977,4.7152686,4.6818857,4.719063,4.696367,4.71762,4.7099614,4.7156377,4.7301893,4.708208,4.711708,4.776954,4.746148,4.7376404,4.6899076,4.666134,4.739358,4.7274485,4.7126007,4.696561,4.7472725,4.73089,4.7303867,4.7324104,4.6360445,4.7110972,4.670582,4.6902394,4.647302,4.6205306,4.644048,4.6745105,4.6676846,4.69741,4.6731067,4.690762,4.689703,4.666023,4.661698,4.6403904,4.7006927,4.620032,4.6430836,4.6220937,4.6357985,4.595093,4.614462,4.6067266,4.659902,4.6231546,4.6458225,4.639229,4.694454,4.6595416,4.5882063,4.6731277,4.621876,4.656221,4.596546,4.6558084,4.7309036,4.6452327,4.66228,4.66503,4.649496,4.6258035,4.649328,4.6554217,4.7285542,4.663347,4.6606545,4.650274,4.6804757,4.673911,4.69259,4.66972,4.6566386,4.701836,4.6552563,4.691489,4.722077,4.6922746,4.717206,4.663569,4.6309547,4.722757,4.7276382,4.6348147,4.6938386,4.7130384,4.739402,4.727439,4.665771,4.7905107,4.7568874,4.7844,4.741842,4.7527885,4.6648784,4.8074856,4.71886,4.6798244,4.7651663,4.7170424,4.760839,4.7559958,4.772272,4.759546,4.749111,4.7607346,4.77654,4.6654396,4.792088,4.702786,4.7678494,4.7954326,4.8238306,4.7638426,4.751499,4.7062163,4.6999407,4.6990643,4.7395625,4.679364,4.6599517,4.6637526,4.7096906,4.700439,4.6474977,4.636364,4.623177,4.5842543,4.644481,4.6123905,4.683224,4.595032,4.6535835,4.577097,4.586566,4.6369047,4.5893216,4.606908,4.6274185,4.5920796,4.512715,4.5872517,4.6030893,4.645209,4.5944204,4.620011,4.578018,4.566056,4.6081204,4.553642,4.596491,4.65443,4.6175103,4.5748215,4.572843,4.587118,4.6944385,4.6410446,4.6166053,4.6403046,4.6360464,4.5848904,4.5870442,4.6073074,4.637346,4.595596,4.6030397,4.604666,4.6184344,4.5941987,4.6422243,4.66616,4.6054225,4.5934544,4.6811194,4.672285,4.685934,4.6263447,4.6749053,4.6836667,4.695298,4.6824155,4.6866903,4.7105694,4.690989,4.64779,4.6329737,4.676361,4.7021475,4.7171597,4.627939,4.657019,4.5163574,4.595013,4.5587025,4.5474997,4.5561824,4.4959116,4.497718,4.392396,4.4289894,4.3546104,4.319744,4.3210135,4.307022,4.312162,4.2010283,4.2834687,4.30603,4.296241,4.2289906,4.2788563,4.253675,4.2226224,4.1962667,4.1798234,4.166134,4.1972985,4.219944,4.18805,4.2062,4.149505,4.235702,4.1828585,4.1581635,4.174689,4.1909533,4.1252785,4.1230435,4.240883,4.172153,4.184076,4.2128005,4.1912913,4.205173,4.213286,4.236707,4.2187166,4.2179246,4.2446623,4.177888,4.278479,4.2480087,4.2470603,4.239852,4.2969813,4.284412,4.34334,4.3242016,4.320799,4.381373,4.306714,4.3937163,4.3941226,4.40843,4.4016986,4.4415917,4.3744855,4.4293447,4.4318876,4.41417,4.4750867,4.4877744,4.459449,4.442327,4.470924,4.5709167,4.519242,4.494294,4.468524,4.517478,4.6168504,4.55232,4.599929,4.622425,4.6374373,4.5991626,4.587565,4.5858617,4.6730533,4.6004734,4.6033206,4.6520643,4.6679354,4.629784,4.6378474,4.6691127,4.724016,4.6980834,4.6717777,4.7642975,4.8217945,4.7301574,4.7562275,4.7894926,4.7831235,4.7391124,4.8001056,4.7847567,4.7699423,4.778888,4.85148,4.7818747,4.8846416,4.8376026,4.8745313,4.834327,4.814524,4.897254,4.8345456,4.8762774,4.852636,4.8657713,4.8521867,4.838472,4.821189,4.820353,4.895649,4.864136,4.905086,4.9001374,4.882218,4.8750973,4.8773336,4.8533535,4.898518,4.905346,4.8035574,4.884982,4.857737,4.9101076,4.8231764,4.877979,4.893971,4.9609885,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/151.png,e,0.3318109000101685,-4.0,0.0,4.483249,4.453645,4.4282804,4.487965,4.4643655,4.5043287,4.436232,4.4035783,4.5085053,4.5378237,4.559753,4.457963,4.4937525,4.4778,4.4907002,4.499971,4.5299597,4.474124,4.5187154,4.490152,4.4958563,4.5441494,4.471969,4.5409207,4.509402,4.5388393,4.5399013,4.527903,4.5265303,4.575961,4.5521317,4.559311,4.583622,4.532514,4.5754313,4.554888,4.535747,4.535865,4.617556,4.547182,4.5557475,4.5864673,4.5345116,4.5599155,4.584989,4.5962543,4.532059,4.674015,4.552114,4.560926,4.521549,4.5419493,4.570142,4.534209,4.5320363,4.6116333,4.564617,4.5216875,4.5716696,4.5368886,4.525704,4.5192494,4.5024533,4.5576334,4.501914,4.523817,4.5124397,4.5009675,4.538705,4.4342523,4.477738,4.507053,4.482597,4.4586234,4.4086585,4.373893,4.38365,4.337489,4.4060054,4.3727894,4.362629,4.3646874,4.370743,4.2895885,4.4126964,4.3393292,4.3207397,4.2941475,4.3070498,4.3379583,4.3088713,4.3728886,4.3348475,4.362579,4.3284655,4.3630805,4.2761593,4.25765,4.3249803,4.2806273,4.298232,4.297043,4.345401,4.345341,4.2720585,4.3054757,4.319268,4.308502,4.2913895,4.3175397,4.28822,4.3144546,4.3279796,4.313843,4.376043,4.3361335,4.337837,4.307703,4.32248,4.3661647,4.3555427,4.370525,4.3293514,4.331799,4.38406,4.327807,4.409452,4.3705816,4.360246,4.36207,4.3784575,4.389084,4.4122005,4.3488994,4.3866277,4.396539,4.3848886,4.393889,4.3628726,4.4138026,4.396735,4.489088,4.4550414,4.3703465,4.4394817,4.4242816,4.452161,4.4505153,4.373391,4.4605107,4.4056244,4.417642,4.476216,4.3988113,4.4581294,4.3810754,4.3871717,4.327935,4.3029704,4.3309803,4.3345757,4.3112044,4.2744927,4.3187237,4.3051987,4.278649,4.230805,4.2625794,4.3071365,4.270773,4.254896,4.284184,4.27968,4.2343726,4.2542553,4.279629,4.1986456,4.243981,4.261885,4.2565417,4.331708,4.3123503,4.284279,4.2693763,4.284342,4.2918596,4.2492294,4.310831,4.2692366,4.2920446,4.2512293,4.259091,4.2577486,4.287469,4.298475,4.276533,4.258743,4.193799,4.2745085,4.290101,4.293353,4.252793,4.2645907,4.250987,4.324767,4.3095336,4.2500906,4.3336673,4.2547474,4.317939,4.2656527,4.2880664,4.3285766,4.225999,4.310364,4.313935,4.2692566,4.2888894,4.291002,4.323428,4.304696,4.2590957,4.3472347,4.2553515,4.330513,4.2633104,4.376152,4.304745,4.307002,4.3126082,4.2500787,4.246016,4.246428,4.297862,4.1905217,4.1696596,4.1916494,4.1414223,4.151637,4.1075497,4.122486,4.064906,4.1245284,4.0533414,4.0134892,4.0495644,4.0044894,3.9956539,3.9810948,3.955913,3.9895241,3.942052,3.8969216,3.9960554,3.9235833,3.9284139,3.9296525,3.8726332,3.924135,3.8816857,3.9067414,3.8664517,3.8827639,3.8907783,3.8982055,3.9198513,3.8801706,3.8878434,3.9013274,3.938236,3.9054463,3.9064631,3.8974385,3.9879472,3.9196928,3.9748921,3.9148357,3.9457314,3.8846827,3.96749,3.965479,3.956765,3.9715784,3.9977016,4.0328064,4.0004373,3.974896,3.945729,4.0249214,4.01398,4.0785074,4.079305,4.053334,4.0802593,4.095676,4.069204,4.1203423,4.0564575,4.0853453,4.106385,4.118847,4.117751,4.1210175,4.0880404,4.10976,4.141898,4.146243,4.1867676,4.1699815,4.190176,4.156659,4.1323433,4.1573205,4.1444745,4.234681,4.204897,4.1673303,4.227296,4.2235913,4.248125,4.242925,4.251808,4.260814,4.3381248,4.263651,4.268109,4.273082,4.3134,4.248565,4.2987137,4.277343,4.2957854,4.3042617,4.3303146,4.312224,4.2268057,4.3416476,4.3549514,4.336081,4.332019,4.3186603,4.3370676,4.3296914,4.3478866,4.322746,4.3155284,4.345311,4.3460207,4.362275,4.3380957,4.348122,4.362448,4.3857713,4.3761444,4.326101,4.376008,4.4725676,4.361598,4.4057446,4.376684,4.3987327,4.376301,4.377508,4.3725204,4.4231606,4.411036,4.395627,4.391356,4.3287554,4.3878975,4.382713,4.440327,4.3916683,4.3950963,4.363709,4.3737526,4.3796973,4.3903093,,,,,,,,,,,,,,,,,,,,,,,,,
FS/571.png,e,0.183344200020656,16.0,-4.0,4.225204,4.1747923,4.2616415,4.2394514,4.2718973,4.246861,4.2714343,4.216486,4.2287164,4.189354,4.2813826,4.223732,4.254754,4.305598,4.21386,4.2263126,4.284825,4.221888,4.2337275,4.2640224,4.2126107,4.2756042,4.270693,4.2954273,4.223413,4.3011913,4.227441,4.293789,4.247359,4.16847,4.2701263,4.25582,4.260076,4.2851872,4.144929,4.2240715,4.279082,4.187246,4.211781,4.226895,4.213953,4.286507,4.1762376,4.2115216,4.2695756,4.295813,4.2053776,4.239138,4.253343,4.22083,4.233968,4.2553415,4.2011867,4.172597,4.1819654,4.2478375,4.1984224,4.2374907,4.1944523,4.1894236,4.1999054,4.22223,4.22429,4.181253,4.1971574,4.176404,4.1845474,4.1729693,4.231064,4.195293,4.1512866,4.1630907,4.2126455,4.232937,4.203407,4.2378874,4.1991377,4.170083,4.157708,4.163357,4.1386867,4.219805,4.1793203,4.13664,4.153656,4.173103,4.15174,4.1853385,4.094362,4.165779,4.155863,4.1287937,4.1625557,4.1197295,4.194388,4.2144766,4.14092,4.142393,4.173797,4.184852,4.16519,4.14055,4.1433754,4.162763,4.1572433,4.199608,4.2102113,4.1429386,4.1747646,4.1743827,4.1557446,4.1264806,4.118007,4.1532197,4.186048,4.203012,4.1137877,4.1423087,4.1410346,4.22904,4.1515465,4.2104607,4.2289977,4.1982017,4.209882,4.192404,4.1961074,4.2071447,4.2427454,4.1957145,4.197471,4.1260476,4.1899214,4.220432,4.1804104,4.1387935,4.196604,4.2150626,4.2007356,4.1741114,4.1524816,4.1453156,4.185176,4.1359468,4.1365333,4.177236,4.1857877,4.1142907,4.2139416,4.150122,4.0963407,4.08722,4.059807,4.095534,4.05277,4.070869,4.0217414,4.0402336,3.9814286,4.050498,3.9253309,3.9353235,3.9231102,3.898419,3.905362,3.8977194,3.8580096,3.8881652,3.883607,3.8091743,3.843906,3.7898083,3.7901685,3.836963,3.7891176,3.7797709,3.7989743,3.8662567,3.7959483,3.7771032,3.7507114,3.7800658,3.8170078,3.8014534,3.7986836,3.8331141,3.7508457,3.790792,3.794138,3.807534,3.7916512,3.8682668,3.7610412,3.8470829,3.8174176,3.7953045,3.8225186,3.8394704,3.8186214,3.784658,3.8844585,3.849585,3.821292,3.8526487,3.902539,3.9239225,3.8882248,3.8712523,3.9414473,3.8847764,3.8707697,3.9356077,3.9148018,4.0062804,3.9144354,3.9326441,4.0229645,3.967747,3.9718814,3.9760408,4.007536,4.098955,4.070193,4.0726542,4.0032935,4.051827,4.1056437,4.1696124,4.1528125,4.179028,4.1500516,4.102886,4.1501718,4.1784863,4.0896935,4.1736712,4.096112,4.1354446,4.128779,4.1188035,4.0529075,4.1017756,4.077197,4.0605345,4.0750785,4.06275,4.079607,4.0530357,4.0207148,4.016683,3.9742727,3.9667602,3.9773006,4.0302906,4.057037,3.9753175,4.054918,3.99772,4.0724564,3.9986057,4.091503,4.081915,3.9761167,4.006542,4.046666,4.073346,3.9878883,4.034435,4.0735784,4.0642757,4.0307174,4.072774,4.0991335,4.0558243,4.0232244,4.0446286,4.07879,4.059514,4.048148,4.0551805,4.084231,4.112949,4.1513786,4.160409,4.122376,4.106596,4.14921,4.1339865,4.14583,4.147744,4.1197057,4.18966,4.2058167,4.2222695,4.1519356,4.1965714,4.2252746,4.25499,4.2182345,4.2268205,4.2335033,4.18553,4.2718353,4.2868357,4.2638364,4.2385917,4.248917,4.2958255,4.333731,4.292146,4.2667365,4.235375,4.255067,4.298488,4.2941604,4.2834134,4.3016696,4.339425,4.3231773,4.305419,4.368149,4.3368387,4.3588343,4.3458705,4.3187876,4.372619,4.3215203,4.413526,4.4134226,4.3499527,4.3276963,4.3400908,4.3507133,4.3373795,4.33296,4.3471775,4.366441,4.350819,4.355245,4.414984,4.457818,4.3606443,4.367546,4.370911,4.4288177,4.3820786,4.318392,4.446074,4.426939,4.3473687,4.3456936,4.3944087,4.3819976,4.3540225,4.4252477,4.4448247,4.435304,4.37903,4.423263,4.427036,4.400085,4.4431114,4.4114757,4.4449525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/381.png,e,0.2196760999504476,0.0,-4.0,4.308511,4.3320336,4.3284936,4.346253,4.3161774,4.3273525,4.257428,4.295475,4.2837152,4.242284,4.3664627,4.280774,4.3249354,4.3062863,4.326376,4.305232,4.2739377,4.25896,4.301523,4.262039,4.2837725,4.350768,4.3499956,4.3272123,4.277022,4.276084,4.280484,4.3599496,4.31083,4.343118,4.272705,4.314001,4.3453856,4.3181987,4.337191,4.340619,4.3582196,4.352915,4.371525,4.3917985,4.361207,4.3303485,4.288243,4.359054,4.3224273,4.356494,4.353902,4.3679996,4.387874,4.320863,4.3383017,4.3275023,4.350125,4.3635592,4.3538027,4.396846,4.3447256,4.303277,4.344433,4.350983,4.3080096,4.3486834,4.279437,4.25725,4.2764535,4.252848,4.274579,4.2644453,4.233176,4.2904263,4.238084,4.2096233,4.156919,4.218629,4.2077227,4.1507864,4.1584044,4.1792765,4.132538,4.1008615,4.1309457,4.1292243,4.0985255,4.16922,4.1400814,4.110718,4.1432285,4.064492,4.086847,4.088912,4.093736,4.1357865,4.0891767,4.0882955,4.1347394,4.121704,4.122883,4.099053,4.124135,4.1270256,4.167394,4.1363015,4.129781,4.192814,4.1324162,4.134818,4.148088,4.1338744,4.218829,4.1137366,4.2183266,4.1432567,4.1243625,4.154399,4.1868634,4.16743,4.184932,4.2018437,4.1817536,4.231124,4.2356644,4.2135186,4.2594275,4.2629075,4.2592225,4.226313,4.242018,4.2691836,4.2374387,4.2537584,4.282273,4.2511,4.230512,4.2615533,4.258325,4.241244,4.213726,4.2838664,4.323275,4.295122,4.246542,4.2436924,4.291374,4.3110127,4.279894,4.2906094,4.3592634,4.254765,4.2934427,4.2663355,4.255834,4.2191367,4.279857,4.249709,4.238089,4.2438664,4.2351375,4.216147,4.206048,4.2319093,4.190913,4.1372666,4.1593285,4.1732984,4.119643,4.0843983,4.1682057,4.1294017,4.134122,4.1491547,4.0763545,4.1887574,4.1559772,4.0750427,4.0354037,4.1114564,4.0430055,4.0698657,4.166689,4.096042,4.135569,4.1080756,4.0843277,4.033392,4.148566,4.1023264,4.1261992,4.180806,4.080197,4.14235,4.104971,4.05773,4.1754546,4.147622,4.125026,4.1170774,4.15044,4.2200665,4.0673428,4.1393905,4.119229,4.206741,4.149124,4.1794076,4.1627016,4.1915193,4.1645975,4.1951833,4.2242246,4.2110257,4.1904407,4.2386575,4.274603,4.279561,4.248969,4.2912126,4.2859983,4.317009,4.2849317,4.284883,4.266676,4.2848744,4.3061037,4.310865,4.3165393,4.2984934,4.3207455,4.2893395,4.3250284,4.325538,4.248059,4.33906,4.3128514,4.2612724,4.274472,4.265657,4.1991925,4.225783,4.178321,4.1442647,4.168819,4.156756,4.141148,4.12156,4.076767,4.0843916,4.003697,4.04138,4.0853353,4.019246,4.077756,3.973947,3.993955,4.0127034,3.9633086,3.9551227,3.8926458,3.9465523,3.9343882,3.947025,3.9630105,3.9161391,3.9410558,3.9162314,3.9328947,3.9142268,3.9361558,3.9323578,4.007429,3.924991,3.9662712,3.910134,3.908772,3.9018974,3.9217925,3.982548,4.0209494,3.9820378,3.943707,3.9628043,3.956157,4.0124764,4.0350776,4.0813794,4.062428,4.053123,4.0374055,4.090039,4.0643835,4.0501924,4.087917,4.143674,4.078365,4.0760794,4.0890603,4.145856,4.1626835,4.1885543,4.129179,4.20042,4.1433225,4.150508,4.2166653,4.160378,4.1351385,4.1881776,4.2476544,4.1826453,4.215563,4.2464714,4.234371,4.2473187,4.266829,4.2626204,4.2922597,4.304836,4.27938,4.26739,4.270674,4.2677093,4.2785797,4.2926326,4.346765,4.343709,4.337329,4.330615,4.3246202,4.3228817,4.3431735,4.361297,4.3154216,4.370974,4.330576,4.404057,4.332304,4.4306836,4.440935,4.3265276,4.4297857,4.4359326,4.4086733,4.38532,4.381154,4.417804,4.3903394,4.410658,4.4704223,4.365631,4.3704042,4.4378924,4.4527035,4.475376,4.467451,4.425242,4.458243,4.4322553,4.430251,4.4887247,4.4860973,4.4708824,4.4508324,4.4417233,4.442373,4.4641733,4.4327216,4.4460745,4.4740396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/371.png,e,0.2055153000401333,-4.0,4.0,4.203086,4.2042165,4.16515,4.2378626,4.1792936,4.2140326,4.1875544,4.2152033,4.1375055,4.168764,4.1818886,4.153437,4.236938,4.18618,4.186298,4.181305,4.169326,4.1511445,4.1352777,4.2259207,4.236231,4.1326065,4.198791,4.233742,4.2316704,4.170292,4.126719,4.2044263,4.1546464,4.104339,4.1069975,4.2215266,4.131978,4.262352,4.1684356,4.251338,4.18649,4.169508,4.1870394,4.186137,4.159852,4.212038,4.1871314,4.185832,4.190991,4.1844273,4.2009563,4.1888113,4.1831985,4.153275,4.156245,4.131543,4.1542187,4.175544,4.2454467,4.149283,4.1762376,4.057776,4.121374,4.1701965,4.1615634,4.116591,4.089212,4.0361958,4.0896616,4.1295238,4.110845,4.0761104,4.028774,4.0466437,3.9886432,3.9984257,3.967621,4.0964828,3.9839456,3.9719956,3.960424,3.9275148,3.9258184,3.8951719,3.9001126,3.9359186,3.879019,3.8909383,3.8456812,3.8595355,3.8728619,3.8191957,3.8421228,3.895196,3.9341745,3.8458016,3.8746831,3.8723075,3.891898,3.8608563,3.8690195,3.9383967,3.9323087,3.8792183,3.9522667,3.8919957,3.8731074,3.885267,3.9379067,3.857815,3.9060085,3.8992405,3.9092183,3.9244268,3.8842902,3.9063838,3.911994,3.8820221,3.8970466,3.971644,3.9382868,3.9464042,3.9619563,3.8964734,3.8922696,3.8988163,3.9612994,3.961485,3.983783,3.9497998,3.95152,3.9533389,3.9378695,3.9932926,4.0284915,3.9516299,3.9585044,3.9347327,3.9357836,3.983428,3.9931026,3.9780972,3.9577289,3.9897368,3.9529269,3.9623175,3.9480057,4.0341153,4.020118,3.980137,3.9634888,4.001212,3.9479017,3.9938192,4.004882,4.003496,3.9238498,4.0021596,3.984038,3.9559705,3.955863,3.9464414,3.939128,3.9680007,3.929347,3.9322522,3.9665697,3.9876907,3.9520814,3.9289918,3.9413855,3.8805199,3.946363,3.9740844,3.934197,3.9590464,3.9069068,3.9076335,3.9338026,3.9038148,3.8815703,3.8895931,3.9447622,3.8704329,3.8881993,3.898886,3.968139,3.958412,3.911952,3.9585881,3.894518,3.930875,3.9498796,3.912935,3.9336925,3.9880366,3.9041743,3.958944,3.9516337,3.9012933,3.9576843,3.9765987,3.9667606,3.967424,3.9710522,3.9909265,4.010024,3.9611638,3.9591508,3.9615679,3.9661782,3.9496374,3.919562,3.9274113,3.9775164,4.0326543,4.002227,3.972091,3.9327488,4.012629,3.9502058,3.9532812,3.976204,3.9720502,3.929804,3.8832586,3.903592,3.9613338,3.9800577,3.937357,3.9699078,3.9274635,3.994718,3.9354663,3.9647503,3.9537153,4.0364246,3.9258327,3.9106781,3.9581027,3.9437335,3.8466246,3.873351,3.9209616,3.8708475,3.869238,3.8185616,3.8074644,3.7211587,3.8051093,3.7344913,3.7014852,3.767085,3.7074955,3.6859953,3.6981726,3.617311,3.69958,3.6642241,3.651657,3.6551676,3.659873,3.681846,3.5982099,3.6461792,3.6157086,3.6690035,3.636002,3.6323574,3.642233,3.6219032,3.6247756,3.6108618,3.6458004,3.6328351,3.6768541,3.6558864,3.6843266,3.661782,3.694532,3.658468,3.7031808,3.7298615,3.72398,3.6841445,3.6756454,3.7417893,3.766087,3.7260058,3.72834,3.8287785,3.7719543,3.7811856,3.7988596,3.8400855,3.821564,3.8224099,3.8198228,3.8420284,3.8796284,3.8473809,3.8544152,3.9433575,3.9356751,3.8853168,3.9221537,3.9163308,3.9097526,3.9762015,3.9648669,3.9212308,3.9930222,3.9422927,3.9825125,3.9736257,4.0412674,3.937432,3.9571712,4.019095,4.0246177,4.061405,4.019767,4.0327735,4.0478463,4.054133,4.075967,4.1014915,4.0704813,4.0795555,4.0940504,4.1393094,4.0367727,4.1092615,4.1603713,4.10005,4.1303554,4.1161385,4.1874037,4.134415,4.185705,4.1678677,4.1409636,4.194397,4.192237,4.188098,4.178926,4.2079616,4.198092,4.1722183,4.2074933,4.1688385,4.1897993,4.1721497,4.1700134,4.2509,4.225455,4.233992,4.2363605,4.1973944,4.1984854,4.1652904,4.2745132,4.2200675,4.182845,4.2239575,4.2443657,4.194605,4.187784,4.1700954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS/231.png,e,0.1069431999931112,16.0,8.0,3.753883,3.7619023,3.7907941,3.7703817,3.7867923,3.8109593,3.7860453,3.7607179,3.791974,3.783518,3.8016164,3.82367,3.7871392,3.7552962,3.8085651,3.8178742,3.7935958,3.8412275,3.849143,3.765579,3.8124547,3.8481178,3.8763998,3.8305516,3.8034842,3.7991776,3.813517,3.8008218,3.83302,3.8302958,3.8079395,3.7381895,3.817118,3.7676692,3.7582443,3.8177962,3.7956731,3.7931564,3.8321972,3.8221014,3.850858,3.8443277,3.7902572,3.8228679,3.8387287,3.929016,3.8846276,3.867522,3.9058957,3.8745768,3.88625,3.7995248,3.86249,3.896424,3.8513026,3.8284523,3.8846624,3.8283727,3.836772,3.8386784,3.8096669,3.8014848,3.8176858,3.8502898,3.845438,3.7905774,3.7762012,3.782103,3.7836158,3.7824001,3.7400715,3.7600408,3.768242,3.7793615,3.7218816,3.7171078,3.7051709,3.7369246,3.6824038,3.7187154,3.6319435,3.6782367,3.7145562,3.6196346,3.6958957,3.7034106,3.6828923,3.7006938,3.6993926,3.6394322,3.705689,3.683944,3.6437569,3.6450646,3.7099848,3.657742,3.6790395,3.6477282,3.6480563,3.6347187,3.6643105,3.607421,3.68089,3.6451025,3.7152722,3.6824808,3.7054546,3.751099,3.7075198,3.725625,3.681138,3.7062361,3.7078726,3.704792,3.6936653,3.7183833,3.7317393,3.7213488,3.765309,3.7977004,3.774689,3.7458653,3.7418413,3.758211,3.7225878,3.779752,3.7741048,3.774717,3.735977,3.7397914,3.7652326,3.7746735,3.7556636,3.767776,3.787665,3.758585,3.802803,3.8331795,3.8013246,3.8468199,3.8313339,3.8165739,3.7860394,3.801791,3.8195682,3.839613,3.7786317,3.8203447,3.8701646,3.8286145,3.8617878,3.785616,3.792696,3.7515454,3.758575,3.7674851,3.7541764,3.7790055,3.6751997,3.6775737,3.7166915,3.7782102,3.7595701,3.7084818,3.711432,3.663823,3.7088368,3.7067075,3.734165,3.699288,3.6627812,3.6798217,3.6541805,3.6954103,3.6442058,3.6711824,3.6518865,3.6557875,3.6523423,3.695364,3.6933458,3.6595194,3.649967,3.6284657,3.6322873,3.690651,3.6974826,3.6679695,3.7366488,3.7220104,3.6619856,3.697274,3.7316816,3.6617122,3.7475328,3.734361,3.6467838,3.705935,3.6922395,3.669813,3.7546816,3.7287278,3.7435343,3.7961855,3.6820178,3.765717,3.7963927,3.7230892,3.7985246,3.7494886,3.7168093,3.790553,3.7511587,3.7786632,3.7857616,3.8124528,3.7442143,3.8422213,3.8633943,3.7920005,3.7949095,3.8218613,3.832334,3.7946253,3.7960603,3.8299077,3.7950006,3.7761376,3.858871,3.8040657,3.796146,3.82841,3.8341393,3.7893744,3.7496912,3.8041947,3.8169346,3.7639685,3.701643,3.694694,3.7317817,3.7100277,3.6479292,3.678223,3.6555412,3.610768,3.6598825,3.6510513,3.6509867,3.6949296,3.6534605,3.5949066,3.6056814,3.671122,3.6044862,3.610546,3.5931556,3.6028585,3.6029594,3.5984132,3.6435027,3.571408,3.5781155,3.631934,3.6141076,3.603153,3.6391025,3.6324682,3.552603,3.5976515,3.5690384,3.6116414,3.618593,3.6069949,3.6285057,3.6522815,3.5991602,3.6731637,3.6320717,3.8847692,3.617738,3.6265633,3.6735508,3.9450762,3.6693583,3.6814013,3.682073,3.6901224,3.6505184,3.7061386,3.6875796,3.7169478,3.746369,3.7274668,3.7199018,3.732223,3.7816143,3.814975,3.7039273,3.7385056,3.7624393,3.7851446,3.7064564,3.7563016,3.6906295,3.6811504,3.730202,3.7047489,3.7488854,3.7285447,3.716163,3.7188716,3.695867,3.7149053,3.7313204,3.766322,3.690855,3.7380729,3.7413177,3.8006947,3.7754035,3.7526407,3.8241374,3.7821722,3.7885814,3.775952,3.8648849,3.8086553,3.8861644,3.8622673,3.806001,3.7554455,3.8768322,3.8607163,3.824304,3.826499,3.8061097,3.7643569,3.8989825,3.8072925,3.811567,3.8192546,3.8961885,3.8906977,3.88451,3.8886116,3.8921914,3.8649642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
